RightAsc;Decl;  Mag B  ;  Mag V  ;  Mag R  
53.23268538;-9.458260971;4.61;3.73;3
184.609342;-64.00308537;3.9;4.05;10
147.8694791;-14.84662871;5.03;4.11;3.42
201.3064076;54.98795966;4.18;4.01;3.85
62.9664127;-6.837579624;4.357;4.026;10
219.4717757;-49.42582829;3.9;4.05;4.14
318.9559882;5.247891952;4.446;3.933;10
294.1803238;-1.286599615;4.28;4.36;4.34
125.6286496;-59.5095554;3.93;3.85;10
116.3289578;28.02619889;2.14;1.14;0.39
230.3429743;-40.64753037;2.995;3.19;10
176.4017279;-66.7287577;3.81;3.65;3.51
152.0929624;11.96720878;1.24;1.4;1.37
122.3721564;-47.3452815;3.995;4.173;10
177.7862133;-45.17346992;5.76;4.46;3.52
82.8031145;-35.4705066;5.01;3.87;3.05
5.017744306;-64.87479366;4.8;4.23;3.73
83.848;-4.486;10;4.2;10
43.5644905;52.76246743;4.71;3.96;3.33
233.8815784;-14.78953551;4.93;3.91;3.2
115.828032;28.88350884;5.41;4.29;3.37
337.2078601;-0.020544972;4.89;4.49;10
6.550838932;-43.67983066;4.11;3.94;3.78
58.53301031;31.88363368;2.97;2.85;2.71
69.53942456;12.51083696;4.39;4.27;4.13
182.9129989;-52.36844012;3.81;3.96;4.05
40.82517159;3.235824146;3.617;3.54;10
271.8374369;9.563846727;3.85;3.73;3.59
94.9057193;59.010981;4.462;4.434;10
46.29414106;38.84027619;5.04;3.39;1.59
246.7960067;-47.55479365;4.439;4.521;10
139.2725286;-59.27523203;2.44;2.26;2.02
281.7936426;-4.747873045;5.31;4.22;3.43
182.0217594;-50.66127096;4.32;4.47;4.53
58.57292417;-2.9547343;5.13;4.45;3.86
67.16559005;15.87087465;3.6;3.41;5.43
84.68652243;-2.600078661;3.58;3.79;3.87
233.7851616;-41.16679195;3.3;3.48;10
69.54510425;-14.30398315;5.03;3.89;10
241.3592999;-19.80545278;2.55;2.62;2.6
319.3539678;39.39467973;4.37;4.24;4.06
222.6763575;74.15550394;3.55;2.08;0.97
233.671952;26.714685;2.22;2.24;2.21
354.9876692;5.626292753;4.62;4.12;3.68
309.3872554;14.59508875;4.07;3.63;3.23
311.0097249;-51.92097035;4.767;4.495;10
